timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688657743477,453,Create User,200,OK,DB 2-5,text,true,,250,413,29,276,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,453,0,206
1688657743420,513,Create User,200,OK,DB 2-2,text,true,,250,413,29,278,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,513,0,243
1688657743440,496,Create User,200,OK,DB 2-3,text,true,,250,413,29,278,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,496,0,225
1688657743459,495,Create User,200,OK,DB 2-4,text,true,,250,413,30,288,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,495,0,214
1688657743514,440,Create User,200,OK,DB 2-7,text,true,,250,413,30,288,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,440,0,205
1688657743402,569,Create User,200,OK,DB 2-1,text,true,,250,413,31,295,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,569,0,271
1688657743496,508,Create User,200,OK,DB 2-6,text,true,,250,413,33,312,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,508,0,210
1688657743533,483,Create User,200,OK,DB 2-8,text,true,,250,413,34,318,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,483,0,212
1688657743570,446,Create User,200,OK,DB 2-10,text,true,,250,413,34,319,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,446,0,202
1688657743551,465,Create User,200,OK,DB 2-9,text,true,,250,413,34,319,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,465,0,201
1688657743588,428,Create User,200,OK,DB 2-11,text,true,,250,413,34,319,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,428,0,196
1688657743625,407,Create User,200,OK,DB 2-13,text,true,,250,413,35,327,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,407,0,196
1688657743607,445,Create User,200,OK,DB 2-12,text,true,,250,413,36,337,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,445,0,216
1688657743644,423,Create User,200,OK,DB 2-14,text,true,,250,413,36,343,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,423,0,205
1688657743663,414,Create User,200,OK,DB 2-15,text,true,,250,413,37,349,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,414,0,199
1688657743680,426,Create User,200,OK,DB 2-16,text,true,,250,413,39,363,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,426,0,206
1688657743929,224,Create Magazine,200,OK,DB 2-5,text,true,,255,353,41,387,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,224,0,0
1688657743717,439,Create User,200,OK,DB 2-18,text,true,,250,413,41,387,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,439,0,211
1688657743935,224,Create Magazine,200,OK,DB 2-2,text,true,,255,353,41,388,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,224,0,0
1688657743935,229,Create Magazine,200,OK,DB 2-3,text,true,,255,353,42,392,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,229,0,0
1688657743953,218,Create Magazine,200,OK,DB 2-7,text,true,,255,353,42,395,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,218,0,0
1688657743698,480,Create User,200,OK,DB 2-17,text,true,,250,413,42,398,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,480,0,216
1688657743953,226,Create Magazine,200,OK,DB 2-4,text,true,,255,353,42,399,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,226,0,0
1688657743970,228,Create Magazine,200,OK,DB 2-1,text,true,,255,353,43,408,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,228,0,0
1688657743736,466,Create User,200,OK,DB 2-19,text,true,,250,413,44,410,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,466,0,235
1688657743754,485,Create User,200,OK,DB 2-20,text,true,,250,413,46,429,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,485,0,249
1688657744015,238,Create Magazine,200,OK,DB 2-9,text,true,,255,353,47,437,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,238,0,0
1688657744003,264,Create Magazine,200,OK,DB 2-6,text,true,,255,353,47,442,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,264,0,0
