timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688659126117,519,Create User,200,OK,DB 2-4,text,true,,250,413,79,274,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,519,0,230
1688659126096,547,Create User,200,OK,DB 2-1,text,true,,250,413,80,277,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,547,0,252
1688659126125,523,Create User,200,OK,DB 2-5,text,true,,250,413,80,277,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,523,0,223
1688659126132,518,Create User,200,OK,DB 2-6,text,true,,250,413,80,277,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,518,0,216
1688659126103,559,Create User,200,OK,DB 2-2,text,true,,250,413,83,286,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,559,0,247
1688659126110,552,Create User,200,OK,DB 2-3,text,true,,250,413,83,286,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,552,0,238
1688659126176,491,Create User,200,OK,DB 2-12,text,true,,250,413,83,287,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,491,0,197
1688659126176,496,Create User,200,OK,DB 2-11,text,true,,250,413,84,290,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,496,0,200
1688659126176,507,Create User,200,OK,DB 2-10,text,true,,250,413,86,295,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,507,0,202
1688659126183,503,Create User,200,OK,DB 2-13,text,true,,250,413,86,297,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,503,0,200
1688659126177,526,Create User,200,OK,DB 2-9,text,true,,250,413,89,305,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,526,0,207
1688659126197,508,Create User,200,OK,DB 2-15,text,true,,250,413,89,307,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,508,0,196
1688659126176,541,Create User,200,OK,DB 2-8,text,true,,250,413,91,312,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,541,0,210
1688659126176,553,Create User,200,OK,DB 2-7,text,true,,250,413,93,318,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,553,0,212
1688659126204,527,Create User,200,OK,DB 2-16,text,true,,250,413,93,319,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,526,0,198
1688659126232,499,Create User,200,OK,DB 2-20,text,true,,250,413,93,319,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,499,0,201
1688659126190,545,Create User,200,OK,DB 2-14,text,true,,250,413,94,321,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,545,0,210
